x,y,v
7.3754588,-37.9752416,10.4033014
7.3020859,-37.7891823,10.4303229
7.2291665,-37.6029715,10.4567631
7.1567023,-37.4165581,10.4822587
7.0847194,-37.2299542,10.5069867
7.0132469,-37.0431841,10.5311541
6.9422841,-36.8561968,10.5544833
6.8718508,-36.6689998,10.5771442
6.8019742,-36.4816266,10.5993576
6.7326491,-36.2940303,10.6209693
6.6638857,-36.1062106,10.6421071
6.5957075,-35.9182115,10.6629495
6.5281057,-35.7299931,10.6834198
6.4610804,-35.5415434,10.7035543
6.3946534,-35.3529161,10.7234815
6.3288155,-35.1640802,10.7431490
6.2635590,-34.9750087,10.7625077
6.1989062,-34.7857627,10.7816637
6.1348513,-34.5963213,10.8005693
6.0713817,-34.4066416,10.8190737
6.0085225,-34.2167890,10.8373021
5.9462729,-34.0267515,10.8552161
5.8846208,-33.8364736,10.8724976
5.8236026,-33.6460257,10.8893462
5.7632263,-33.4553786,10.9057501
5.7035011,-33.2645113,10.9211247
5.6444373,-33.0734433,10.9357971
5.5860413,-32.8821590,10.9497611
5.5283397,-32.6906761,10.9622708
5.4713518,-32.4989786,10.9736429
5.4150992,-32.3070494,10.9839812
5.3596176,-32.1149116,10.9924638
5.3049325,-31.9225466,10.9993589
5.2510691,-31.7299317,11.0049779
5.1980661,-31.5370920,11.0086195
5.1459516,-31.3440179,11.0105228
5.0947468,-31.1506795,11.0112422
5.0444846,-30.9571021,11.0104084
4.9951892,-30.7632926,11.0083654
4.9468695,-30.5692143,11.0057531
4.8995445,-30.3748922,11.0026169
4.8532265,-30.1803534,10.9996971
4.8079085,-29.9855542,10.9973471
4.7635831,-29.7905199,10.9959458
4.7202266,-29.5953041,10.9291755
4.6777974,-29.3998569,10.8483471
4.6362861,-29.2041980,10.7599080
4.5957090,-29.0083889,10.6703949
4.5560499,-28.8123628,10.5800445
4.5173013,-28.6161325,10.4887411
4.4794591,-28.4197801,10.3951766
4.4424756,-28.2232337,10.3001357
4.4063065,-28.0265061,10.2035556
4.3709098,-27.8297018,10.1038845
4.3361961,-27.6327437,10.0026992
4.3020829,-27.4356456,9.9000119
4.2684978,-27.2385261,9.7949366
4.2353322,-27.0413030,9.6889661
4.2024967,-26.8439868,9.5821353
4.1699266,-26.6466968,9.4742310
4.1375342,-26.4493463,9.3659854
4.1052589,-26.2519362,9.2574276
4.0730722,-26.0545834,9.1485412
4.0409252,-25.8571929,9.0395690
4.0087960,-25.6597578,8.9305210
3.9766928,-25.4623915,8.8214121
3.9445949,-25.2649926,8.7122467
3.9124989,-25.0675514,8.6030278
3.8804222,-24.8701813,8.4936676
3.8483477,-24.6727776,8.3842050
3.8162745,-24.4753322,8.2746462
3.7842214,-24.2779594,8.1648520
3.7521711,-24.0805502,8.0549057
3.7201232,-23.8831004,7.9448149
3.6880965,-23.6857249,7.8343752
3.6560727,-23.4883095,7.7237313
3.6240526,-23.2908590,7.6128789
3.5920530,-23.0934769,7.5015562
3.5600563,-22.8960548,7.3899674
3.5280645,-22.6986061,7.2780838
3.4960912,-22.5012153,7.1656017
3.4641206,-22.3037866,7.0527787
3.4321556,-22.1063403,6.9395471
3.4002064,-21.9089409,6.8255762
3.3682591,-21.7115061,6.7111758
3.3363177,-21.5140629,6.5962148
3.3043887,-21.3166555,6.4803592
3.2724605,-21.1192153,6.3639679
3.2405376,-20.9217757,6.2468110
3.2086228,-20.7243616,6.1285980
3.1767032,-20.5269179,6.0097350
3.1447789,-20.3294848,5.8898593
3.1128408,-20.1320705,5.7687817
3.0808688,-19.9346331,5.6469169
3.0488544,-19.7372207,5.5236927
3.0167778,-19.5398253,5.3990655
2.9846138,-19.3424164,5.2734523
2.9523511,-19.1450505,5.1459370
2.9199658,-18.9477020,5.0167337
2.8874383,-18.7503498,4.8862471
2.8547682,-18.5530568,4.7529659
2.8219461,-18.3557765,4.6175785
2.7889895,-18.1584930,4.4804454
2.7559495,-17.9612661,4.3389743
2.7228734,-17.7640243,4.1952771
2.6899386,-17.5667421,4.0493032
2.6575178,-17.3693997,3.9005026
2.6263089,-17.1718684,3.7515465
2.5972706,-16.9739854,3.6025535
2.5716067,-16.7756462,3.4570015
2.5507231,-16.5769117,3.3146923
2.5359695,-16.3774887,3.1778189
2.5286290,-16.1781738,3.0523640
2.5306822,-15.9777353,2.9374011
2.5444088,-15.7782490,2.8483345
2.5721307,-15.5796366,2.7821810
2.6153541,-15.3846543,2.7295449
2.6759700,-15.1926880,2.6801923
2.7542893,-15.0072511,2.6247337
2.8482003,-14.8336800,2.5624657
2.9617024,-14.6652624,2.4916552
3.0881450,-14.5095985,2.4164959
3.2220249,-14.3654552,2.3231977
3.3624504,-14.2270116,2.2079798
3.5126235,-14.0970774,2.0726634
3.6760664,-13.9836125,2.0927209
3.8539631,-13.8908937,2.1863875
4.0443055,-13.8200396,2.2726620
4.2352492,-13.7715622,2.3745858
4.4337679,-13.7379134,2.5082964
4.6327911,-13.7142533,2.6895163
4.8316651,-13.6932375,2.8598046
5.0316135,-13.6713545,3.0254879
5.2302370,-13.6473498,2.9578855
5.4285438,-13.6185888,2.8659166
5.6261465,-13.5822227,2.7231785
5.8212032,-13.5356821,2.5874097
6.0122191,-13.4761644,2.4640562
6.1993408,-13.3994536,2.3595189
6.3731698,-13.3060396,2.2678749
6.5379106,-13.1902891,2.2018987
6.6877278,-13.0542858,2.1434348
6.8177931,-12.9054407,2.0926506
6.9360957,-12.7500981,2.1059314
7.0487095,-12.5885142,2.1219000
7.1477896,-12.4124136,2.1342496
7.2222597,-12.2281428,2.1482019
7.2696436,-12.0342366,2.1664348
7.2903489,-11.8324650,2.1920889
7.2858456,-11.6325399,2.2391865
7.2599371,-11.4330866,2.3084479
7.2168014,-11.2386814,2.3926824
7.1593279,-11.0462266,2.5033418
7.0906279,-10.8591405,2.6223684
7.0118896,-10.6755430,2.7525355
6.9246456,-10.4955796,2.8880975
6.8306676,-10.3190916,3.0267750
6.7314812,-10.1454667,3.1700242
6.6283926,-9.9740791,3.3167084
6.5225498,-9.8043926,3.4643297
6.4148781,-9.6358588,3.6122400
6.3060981,-9.4679957,3.7577216
6.1968279,-9.3005268,3.9010941
6.0874004,-9.1331147,4.0399759
5.9780074,-8.9656661,4.1734531
5.8687536,-8.7981963,4.3033819
5.7595996,-8.6305983,4.4276885
5.6506069,-8.4628989,4.5480900
5.5418148,-8.2951236,4.6657571
5.4331740,-8.1271901,4.7790815
5.3247152,-7.9591507,4.8895473
5.2164450,-7.7910316,4.9978758
5.1083102,-7.6227722,5.1026837
5.0003300,-7.4544278,5.2052596
4.8925006,-7.2860198,5.3060828
4.7847738,-7.1175003,5.4039368
4.6771650,-6.9489197,5.4999652
4.5696685,-6.7802948,5.5945071
4.4622427,-6.6115845,5.6864815
4.3549019,-6.4428338,5.7769149
4.2476411,-6.2740558,5.8660596
4.1404246,-6.1052136,5.9529501
4.0332664,-5.9363472,6.0385094
3.9261627,-5.7674674,6.1229345
3.8190822,-5.5985398,6.2053597
3.7120389,-5.4296006,6.2866136
3.6050306,-5.2606592,6.3668573
3.4980287,-5.0916823,6.4453120
3.3910480,-4.9227036,6.5227181
3.2840875,-4.7537309,6.5992143
3.1771217,-4.5847320,6.6740957
3.0701659,-4.4157376,6.7480212
2.9632210,-4.2467539,6.8211168
2.8562654,-4.0777491,6.8927416
2.7493205,-3.9087529,6.9634862
2.6423881,-3.7397587,7.0334707
2.5354603,-3.5707482,7.1021164
2.4285377,-3.4017370,7.1699442
2.3216143,-3.2327238,7.2370742
2.2146911,-3.0637110,7.3029894
2.1077682,-2.8946987,7.3681474
2.0008446,-2.7256858,7.4326669
1.8939213,-2.5566736,7.4960772
1.7869979,-2.3876616,7.5587812
1.6800737,-2.2186486,7.6208965
1.5731500,-2.0496370,7.6819941
1.4662261,-1.8806253,7.7424300
1.3593012,-1.7116123,7.8023206
1.2523772,-1.5426013,7.8612735
1.1454529,-1.3735899,7.9196043
1.0385272,-1.2045770,7.9774280
0.9316029,-1.0355664,8.0343840
0.8246782,-0.8665554,8.0907535
0.7177520,-0.6975424,8.1466498
0.6108274,-0.5285322,8.2017401
0.5039023,-0.3595216,8.2562760
0.3969757,-0.1905086,8.3103688
0.2900508,-0.0214986,8.3637104
0.1831256,0.1475118,8.4165267
0.0761986,0.3165248,8.4689271
-0.0307265,0.4855345,8.5206247
-0.1376518,0.6545447,8.5718240
-0.2445791,0.8235578,8.6226316
-0.3515042,0.9925675,8.6727799
-0.4584296,1.1615776,8.7224545
-0.5653569,1.3305908,8.7717595
-0.6722820,1.4996004,8.8204439
-0.7792072,1.6686104,8.8686777
-0.8861346,1.8376238,8.9165619
-0.9930595,2.0066335,8.9638602
-1.0999846,2.1756436,9.0107293
-1.2069118,2.3446572,9.0572671
-1.3138365,2.5136669,9.1032503
-1.4207613,2.6826771,9.1488244
-1.5276883,2.8516910,9.1940838
-1.6346127,3.0207009,9.2388169
-1.7415372,3.1897113,9.2831598
-1.8484639,3.3587254,9.3272034
-1.9553878,3.5277355,9.3707460
-2.0623119,3.6967461,9.4139163
-2.1692383,3.8657606,9.4568015
-2.2761618,4.0347709,9.4992087
-2.3830854,4.2037817,9.5412606
-2.4900114,4.3727966,9.5830403
-2.5969345,4.5418072,9.6243629
-2.7038576,4.7108182,9.6653464
-2.8107832,4.8798335,9.7060698
-2.9177058,5.0488443,9.7463550
-3.0246285,5.2178556,9.7863164
-3.1315537,5.3868712,9.8260290
-3.2384758,5.5558821,9.8653204
-3.3453980,5.7248937,9.9043029
-3.4523230,5.8939097,9.9430469
-3.5592446,6.0629208,9.9813854
-3.6661665,6.2319325,10.0194290
-3.7730912,6.4009489,10.0572440
-3.8800125,6.5699599,10.0946675
-3.9869342,6.7389719,10.1318098
-4.0938588,6.9079885,10.1687325
-4.2007798,7.0769995,10.2052765
-4.3077014,7.2460115,10.2415526
-4.4146260,7.4150283,10.2776175
-4.5215469,7.5840391,10.3133153
-4.6284686,7.7530511,10.3487579
-4.7353935,7.9220679,10.3839973
-4.8423145,8.0910784,10.4188802
-4.9492366,8.2600902,10.4535201
-5.0561620,8.4291070,10.4879643
-5.1630833,8.5981169,10.5220616
-5.2700059,8.7671283,10.5559278
-5.3769322,8.9361450,10.5896054
-5.4838541,9.1051540,10.6229446
-5.5907777,9.2741650,10.6560644
-5.6977052,9.4431813,10.6890022
-5.8046280,9.6121892,10.7216094
-5.9115529,9.7811994,10.7540084
-6.0184820,9.9502152,10.7862315
-6.1254061,10.1192217,10.8181307
-6.2323326,10.2882307,10.8498277
-6.3392650,10.4572452,10.8813455
-6.4461967,10.6262465,10.9124676
-6.5531473,10.7952447,10.9433058
-6.6601240,10.9642284,10.9738879
-6.7671341,11.1331862,11.0038894
-6.8741945,11.3021141,11.0334994
-6.9813198,11.4709973,11.0627507
-7.0885340,11.6398294,11.0912137
-7.1958551,11.8085921,11.1192174
-7.3033006,11.9772673,11.1467929
-7.4109005,12.1458582,11.1735387
-7.5186646,12.3143382,11.1935023
-7.6266025,12.4826942,11.2060583
-7.7347392,12.6509458,11.0999108
-7.8430713,12.8190609,10.9940511
-7.9516120,12.9870247,10.8884763
-8.0604009,13.1548595,10.7832906
-8.1694287,13.3225236,10.6781880
-8.2787018,13.4900089,10.5731698
-8.3882505,13.6573518,10.4681159
-8.4980489,13.8245118,10.3629670
-8.6080929,13.9914890,10.2577179
-8.7184062,14.1583317,10.1521708
-8.8289500,14.3249993,10.0464429
-8.9397138,14.4914974,9.9405255
-9.0507194,14.6578829,9.8342246
-9.1619206,14.8241124,9.7277269
-9.2733050,14.9901932,9.6210249
-9.3848976,15.1561883,9.5139461
-9.4966493,15.3220482,9.4066806
-9.6085491,15.4877791,9.2992236
-9.7206290,15.6534481,9.1914086
-9.8328391,15.8189984,9.0834115
-9.9451716,15.9844331,8.9752311
-10.0576666,16.1498229,8.8666831
-10.1702743,16.3151035,8.7579397
-10.2829908,16.4802759,8.6490001
-10.3958605,16.6454096,8.5396544
-10.5088374,16.8104390,8.4300754
-10.6219195,16.9753620,8.3202670
-10.7351527,17.1402440,8.2099865
-10.8484962,17.3050230,8.0994123
-10.9619489,17.4696932,7.9885586
-11.0755546,17.6343150,7.8771458
-11.1892741,17.7988351,7.7653542
-11.3030851,17.9632586,7.6532179
-11.4170043,18.1276466,7.5404374
-11.5310238,18.2919412,7.4272257
-11.6451728,18.4561550,7.3136465
-11.7594462,18.6202786,7.1994465
