x,y,v,theta
2.5716067,-16.7756462,3.4570015,1.6754949917094883
2.5507231,-16.5769117,3.3146923,1.6446432317203423
2.5359695,-16.3774887,3.1778189,1.6076083460467079
2.528629,-16.1781738,3.052364,1.5605531440214366
2.5306822,-15.9777353,2.9374011,1.5020948811628154
2.5444088,-15.778249,2.8483345,1.4321144035864295
2.5721307,-15.5796366,2.782181,1.352645496595254
2.6153541,-15.3846543,2.7295449,1.264941314448967
2.67597,-15.192688,2.6801923,1.1711722769519521
2.7542893,-15.0072511,2.6247337,1.0748488869195252
2.8482003,-14.83368,2.5624657,0.9777803614853746
2.9617024,-14.6652624,2.4916552,0.8886125851839195
3.088145,-14.5095985,2.4164959,0.8222970323168802
3.2220249,-14.3654552,2.3231977,0.7782913644241986
3.3624504,-14.2270116,2.2079798,0.7132694119801875
3.5126235,-14.0970774,2.0726634,0.6068344515311153
3.6760664,-13.9836125,2.0927209,0.48045916855728643
3.8539631,-13.8908937,2.1863875,0.35635357339628143
4.0443055,-13.8200396,2.272662,0.24863009899684851
4.2352492,-13.7715622,2.3745858,0.16790357527970162
4.4337679,-13.7379134,2.5082964,0.11832577904083805
4.6327911,-13.7142533,2.6895163,0.10528320597593681
4.8316651,-13.6932375,2.8598046,0.10900938619331253
5.0316135,-13.6713545,3.0254879,0.12027198573822379
5.230237,-13.6473498,2.9578855,0.14402859324113526
5.4285438,-13.6185888,2.8659166,0.18199994493789057
5.6261465,-13.5822227,2.7231785,0.2342211551472796
5.8212032,-13.5356821,2.5874097,0.3020511085849601
6.0122191,-13.4761644,2.4640562,0.3890556111174705
6.1993408,-13.3994536,2.3595189,0.49311045969228157
6.3731698,-13.3060396,2.2678749,0.6124834869579722
6.5379106,-13.1902891,2.2018987,0.7371050588308647
6.6877278,-13.0542858,2.1434348,0.852629418704997
6.8177931,-12.9054407,2.0926506,0.9199382265081179
6.9360957,-12.7500981,2.1059314,0.9621290204148979
7.0487095,-12.5885142,2.1219,1.0583054465651969
7.1477896,-12.4124136,2.1342496,1.186731223567156
7.2222597,-12.2281428,2.1482019,1.3311281286907848
7.2696436,-12.0342366,2.1664348,1.4685367534856468
7.2903489,-11.832465,2.1920889,1.5933174540299213
7.2858456,-11.6325399,2.2391865,1.6999706067605345
7.2599371,-11.4330866,2.3084479,1.789144397817348
7.2168014,-11.2386814,2.3926824,1.8609992165899052
7.1593279,-11.0462266,2.5033418,1.9227205121455544
7.0906279,-10.8591405,2.6223684,1.975934991372508
7.0118896,-10.675543,2.7525355,2.022200009348111
6.9246456,-10.4955796,2.8880975,2.060096428853845
6.8306676,-10.3190916,3.026775,2.0898216063571917
6.7314812,-10.1454667,3.1700242,2.1123135764346457
6.6283926,-9.9740791,3.3167084,2.1284998483327806
6.5225498,-9.8043926,3.4643297,2.1393096147223427
6.4148781,-9.6358588,3.61224,2.1457840525257326
6.3060981,-9.4679957,3.7577216,2.14891336754391
6.1968279,-9.3005268,3.9010941,2.1497272350552614
6.0874004,-9.1331147,4.0399759,2.1494830110479346
5.9780074,-8.9656661,4.1734531,2.1488422185543445
5.8687536,-8.7981963,4.3033819,2.1480740904855233
5.7595996,-8.6305983,4.4276885,2.1471216196273124
5.6506069,-8.4628989,4.54809,2.146073619952521
5.5418148,-8.2951236,4.6657571,2.1450085872012323
5.433174,-8.1271901,4.7790815,2.1439569292530924
5.3247152,-7.9591507,4.8895473,2.142948355485854
5.216445,-7.7910316,4.9978758,2.141999405650351
5.1083102,-7.6227722,5.1026837,2.141119339641284
5.00033,-7.4544278,5.2052596,2.1403128716151483
4.8925006,-7.2860198,5.3060828,2.1395802602262304
4.7847738,-7.1175003,5.4039368,2.138918599428443
4.677165,-6.9489197,5.4999652,2.138326050592769
4.5696685,-6.7802948,5.5945071,2.1377984569831376
4.4622427,-6.6115845,5.6864815,2.137331461027316
4.3549019,-6.4428338,5.7769149,2.1369206468235986
4.2476411,-6.2740558,5.8660596,2.136561544475439
4.1404246,-6.1052136,5.9529501,2.1362505980054505
4.0332664,-5.9363472,6.0385094,2.135984587381136
3.9261627,-5.7674674,6.1229345,2.135758632232982
3.8190822,-5.5985398,6.2053597,2.1355704797203683
3.7120389,-5.4296006,6.2866136,2.135416752655945
3.6050306,-5.2606592,6.3668573,2.1352947438863876
3.4980287,-5.0916823,6.445312,2.13520037254244
3.391048,-4.9227036,6.5227181,2.135131077602037
3.2840875,-4.7537309,6.5992143,2.1350834041582947
3.1771217,-4.584732,6.6740957,2.1350531884487065
3.0701659,-4.4157376,6.7480212,2.1350357462658525
2.963221,-4.2467539,6.8211168,2.135024535245603
2.8562654,-4.0777491,6.8927416,2.1350023216517786
2.7493205,-3.9087529,6.9634862,2.1349548519501926
2.6423881,-3.7397587,7.0334707,2.134891836111447
2.5354603,-3.5707482,7.1021164,2.1348679921185374
2.4285377,-3.401737,7.1699442,2.1348660260971197
2.3216143,-3.2327238,7.2370742,2.1348662502764024
2.2146911,-3.063711,7.3029894,2.1348663192242285
2.1077682,-2.8946987,7.3681474,2.1348676731690794
2.0008446,-2.7256858,7.4326669,2.1348682767675298
1.8939213,-2.5566736,7.4960772,2.134869233969742
1.7869979,-2.3876616,7.5587812,2.1348699411614427
1.6800737,-2.2186486,7.6208965,2.1348715709319688
1.57315,-2.049637,7.6819941,2.1348721487148525
1.4662261,-1.8806253,7.74243,2.1348728990180863
1.3593012,-1.7116123,7.8023206,2.1348744425518467
1.2523772,-1.5426013,7.8612735,2.1348746409064483
1.1454529,-1.3735899,7.9196043,2.1348765467365127
1.0385272,-1.204577,7.977428,2.1348767795248262
0.9316029,-1.0355664,8.034384,2.1348774004266446
0.8246782,-0.8665554,8.0907535,2.1348783921510535
0.717752,-0.6975424,8.1466498,2.1348791165019567
0.6108274,-0.5285322,8.2017401,2.1348801599502676
0.5039023,-0.3595216,8.256276,2.1348800823381313
0.3969757,-0.1905086,8.3103688,2.1348809188223896
0.2900508,-0.0214986,8.3637104,2.1348811171612123
0.1831256,0.1475118,8.4165267,2.1348817725215947
0.0761986,0.3165248,8.4689271,2.1348825659209356
-0.0307265,0.4855345,8.5206247,2.1348820743732633
-0.1376518,0.6545447,8.571824,2.134882772830942
-0.2445791,0.8235578,8.6226316,2.1348825659209356
-0.3515042,0.9925675,8.6727799,2.134882764255799
-0.4584296,1.1615776,8.7224545,2.13488250550529
-0.5653569,1.3305908,8.7717595,2.1348828332521395
-0.672282,1.4996004,8.8204439,2.134882186481486
-0.7792072,1.6686104,8.8686777,2.134882393398857
-0.8861346,1.8376238,8.9165619,2.1348817208140036
-0.9930595,2.0066335,8.9638602,2.13488149659838
-1.0999846,2.1756436,9.0107293,2.134881013660732
-1.2069118,2.3446572,9.0572671,2.1348808757061666
-1.3138365,2.5136669,9.1032503,2.134879961609174
-1.4207613,2.6826771,9.1488244,2.134879366599713
-1.5276883,2.851691,9.1940838,2.134879073382488
-1.6346127,3.0207009,9.2388169,2.1348781592898245
-1.7415372,3.1897113,9.2831598,2.134877564319166
-1.8484639,3.3587254,9.3272034,2.13487642594837
-1.9553878,3.5277355,9.370746,2.1348759344162067
-2.0623119,3.6967461,9.4139163,2.134875227395043
-2.1692383,3.8657606,9.4568015,2.1348742010679764
-2.2761618,4.0347709,9.4992087,2.1348732869862515
-2.3830854,4.2037817,9.5412606,2.13487246792955
-2.4900114,4.3727966,9.5830403,2.134871708859553
-2.5969345,4.5418072,9.6243629,2.1348706395536965
-2.7038576,4.7108182,9.6653464,2.1348697084674795
-2.8107832,4.8798335,9.7060698,2.1348690614204457
-2.9177058,5.0488443,9.746355,2.134868147350689
-3.0246285,5.2178556,9.7863164,2.1348672163265943
-3.1315537,5.3868712,9.826029,2.134866681303789
-3.2384758,5.5558821,9.8653204,2.1348652325910247
